Type	File	Stars	L1	S1	L2	S2	L3	S3	L4	S4	L5	S5
regular	18_8_R223LYA2UGWGGL	5	regular	five	regular	four	regular	four	regular	one	regular	four
regular	46_6_RVT096AILVPPW	4	regular	four	regular	five	both	three	regular	five	regular	three
regular	15_10_R24Y0Y26SHSMWO	5	ironic	five	regular	five	regular	five	sarcastic	three	regular	three
regular	33_14_R25DUCJNH5I2B1	5	regular	five	regular	five	both	four	regular	five	regular	five
regular	47_19_R25437GBYT5CH	5	regular	five	regular	four	regular	five	regular	three	regular	five
regular	39_11_R1984V6Z1RAME3	5	regular	five	regular	four	regular	four	regular	five	regular	four
regular	43_20_R249NGVG0F8COO	5			sarcastic	two	regular	four	regular	five	regular	four
ironic	31_5_R1IEO3YW7PKGVV	2	sarcastic	one	ironic	three	sarcastic	two	regular	two	sarcastic	one
ironic	4_13_RETS8UQ5PLPFK	1	regular	three	both	one	ironic	one	regular	two	sarcastic	four
regular	276426_7_R2OCWCQBX241C7	5	regular	four	regular	five	regular	four	regular	five	regular	five
regular	20_18_R1C51709SRC9VL	3	regular	one	regular	one	regular	one	regular	one	regular	two
ironic	44_8_R3INOB4OWD4Z0U	1	sarcastic	one	regular	one	sarcastic	one	both	two	sarcastic	four
regular	11_16_R1YS6WDAD725AO	5	regular	five	regular	five	regular	five	regular	four	regular	four
regular	47_5_R31NYEXH00G2UN	5	ironic	two	regular	five	regular	five	both	three	regular	four
ironic	18_19_RTJ6PHNHIFR09	2	sarcastic	three	sarcastic	three	regular	three	sarcastic	two	both	three
regular	24_11_R3FLMWV7ZWXRUQ	5	regular	five	regular	five	regular	four	regular	five	regular	five
ironic	47_2_RR1CGE3IGLDN	1	ironic	five	regular	one	regular	one	ironic	one	both	one
regular	29_11_R2E59DVX6F0SOQ	4	regular	five	regular	five	regular	four	regular	three	sarcastic	one
regular	31_17_R15YYYFNS4AAAR	5	regular	five	sarcastic	four	ironic	four	regular	five	regular	five
regular	16_19_R1PP5ERLABNSL3	5	ironic	five	regular	five	regular	four	ironic	four	regular	five
ironic	44_20_R2GNWDAB5ZQ960	1	sarcastic	three	both	two	sarcastic	one	sarcastic	two	both	one
ironic	42_11_R1HNFW27RW2MWJ	1	both	one	sarcastic	one	both	two	sarcastic	three	sarcastic	one
regular	19_18_R2W1AAAC7UL6CZ	4	regular	five	regular	five	regular	five	regular	three	regular	five
regular	35_9_R2TDCMV16FIQLI	5	regular	five	regular	five	ironic	three	sarcastic	two	regular	five
regular	49_20_R33I6AETIKUOIS	5	regular	four	regular	five	regular	five	regular	five	regular	four
regular	2_6_R2AO7AEI4OJUCP	5	regular	three	regular	four	regular	five	ironic	five	regular	five
regular	8_16_R31N279HQNX86F	5	regular	five	regular	four	regular	five	regular	four	regular	five
ironic	41_6_R2UTR08RZ5IKF8	5	both	three	both	five	both	five	both	four	regular	four
ironic	3_11_R2NB9ZHBV11DT1	1	regular	two	sarcastic	two			sarcastic	one	regular	one
regular	18_14_R1CKKBD5GCRVPU	5	regular	five	regular	five	ironic	four	regular	four	regular	four
regular	7_13_R2T17SADT8ROLR	5	regular	five	regular	five	regular	four	regular	five	regular	five
regular	37_13_R3RZ2CPGFU07WC	5	regular	five	regular	five	regular	five	regular	five	regular	three
regular	3_6_R1V2DOTHFCTY2S	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	276425_8_R1M00P4LX428ET	2	both	two	both	two	sarcastic	two	sarcastic	two	both	one
regular	276425_4_R4JF6U2T5XA5G	5	regular	five	regular	four	regular	five	sarcastic	three	regular	four
regular	11_11_R13TQD5LMPAXLR	5	regular	five	regular	two	regular	five	regular	five	regular	five
regular	40_15_R233HVRAS6F7IC	5	regular	three	regular	five	regular	five			both	four
regular	25_3_R2C0RZVELRHRQV	5	regular	three	regular	five	regular	three	regular	four	ironic	three
ironic	12_15_R1PJXC9IGJ1SGH	1	sarcastic	three	both	two	both	two	regular	two	sarcastic	two
ironic	10_11_R1O7RLDLVICKLM	5			sarcastic	four	ironic	three	both	five	ironic	three
ironic	1_5_R4F7L5HVAZZHU	3	sarcastic	one	both	three	regular	four	regular	one	both	two
regular	30_14_ROXP336WI15T9	3	regular	one	ironic	four	regular	three	regular	three	regular	three
regular	43_10_R2VXZV548WSF9G	5	regular	four	regular	four	regular	five	regular	five	regular	four
ironic	19_15_R3HESUQA4KOLP5	4	sarcastic	five	regular	five	regular	five	sarcastic	four	both	five
regular	37_15_R285XDEPQH2340	5	ironic	four	regular	three	regular	five	regular	four	ironic	five
regular	17_10_R1AAP2F9GXHVA9	3	regular	three	regular	three	regular	three	both	one	regular	three
ironic	39_11_R39W6U2QQX8HQ9	1	both	one	regular	one	both	one	both	one	both	five
ironic	42_9_R3H4W0SZ67G8YL	2	both	one			regular	three	both	two	regular	three
regular	44_1_R1VJPUP6BA1SX2	5	regular	four	regular	five	ironic	four	regular	five	regular	five
ironic	12_3_RE2NKEZSVN1DD	5	ironic	five	sarcastic	five	regular	three	both	three	sarcastic	three
regular	45_1_R3RSW3W2ATW897	5	regular	five	regular	five	sarcastic	four	both	two	regular	five
regular	19_17_R3D2A164T6VINX	5	regular	five	regular	five	regular	three	regular	four	regular	five
regular	51_1_R19654PDC4RXR1	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	32_9_R196O16O1FBFG5	5	regular	four	regular	five	ironic	five	both	three	regular	three
regular	276427_2_R27BG618HK86BT	4	regular	four	regular	four			regular	four	regular	four
regular	47_1_R3JG31KC7EBM5M	5	regular	three	regular	five	regular	five	regular	five	ironic	five
ironic	38_16_RMLTK41BPZJSL	1	both	one	regular	one	sarcastic	one	sarcastic	two	both	two
regular	40_19_R3REH6KRRUS46T	5	regular	five	ironic	four	regular	five			regular	five
regular	22_15_R302NENG4IC9YC	5	regular	five	regular	five	regular	five	regular	four	regular	five
regular	31_11_RFVHRJORBF6EX	5	regular	five	regular	four	regular	five	regular	four	regular	four
regular	12_10_R2LZSK7J57DLOK	5	regular	five			regular	five	regular	five	regular	five
regular	15_15_R30CYY7G8F0DGV	5	regular	five	regular	five	regular	five	regular	three	regular	five
ironic	20_19_R35YBWOP5T7994	1	both	one	sarcastic	one	sarcastic	one	ironic	two	sarcastic	one
regular	45_3_R2DUM7S4XW06QN	5	regular	five	regular	five	regular	five	regular	five	both	four
regular	1_7_R1V1O60V01GACW	4	regular	four	regular	four	regular	five	ironic	four	regular	five
regular	11_17_R1YWCZBGFUSUD	5	regular	four	regular	three	regular	five	regular	five	regular	four
ironic	48_11_R3I77FW8GZLB6I	5	ironic	five	sarcastic	five	regular	five	sarcastic	five	sarcastic	five
regular	51_15_R342ATCO2KG860	1	regular	one	regular	one	regular	one	regular	one	both	two
regular	276427_4_R131PA46HGQB37	5	regular	five	regular	four	regular	five	regular	five	sarcastic	five
regular	11_15_R21KY4UB6XD2ZF	2	regular	one	regular	one	regular	one	sarcastic	three	regular	two
regular	43_7_RRKU6ET3XLEF	5	regular	five	regular	five	regular	five	regular	five	regular	four
ironic	38_5_R21EW21BFB87FO	1	sarcastic	one	ironic	one	sarcastic	one	regular	one	sarcastic	one
regular	45_14_R1CNIJUVB0JSEI	5	regular	four	regular	four	both	four	regular	four	regular	three
regular	46_12_R2WL4173J0BEJB	5	regular	four	regular	four	both	three	regular	five	regular	five
regular	6_19_R2BCQXJ19K1RM5	4	regular	four	regular	two	regular	three	regular	four	sarcastic	three
regular	8_4_R2YXG32QDNGF0I	4	regular	three	regular	four	regular	four	regular	four	regular	four
regular	35_6_R1ZHL8E6DYAK1H	3	regular	three	regular	four	regular	five	regular	four	regular	five
ironic	25_17_R2H0CEVY3HM2UK	5	ironic	three	regular	three	regular	five	both	three	ironic	five
ironic	28_3_R341CN15R9VX4Q	2	both	one	ironic	three	regular	three	sarcastic	one	both	three
ironic	7_13_R2U4RBEO13YGNU	5	regular	three	sarcastic	three	regular	three	sarcastic	two	sarcastic	three
regular	33_16_R33NHZ7C2O9J1R	5	regular	three	sarcastic	one	regular	five	regular	one	regular	two
ironic	276424_9_R2M7LNBEK8SAMM	1	regular	one	regular	four	sarcastic	one	sarcastic	one	sarcastic	one
regular	13_9_R1YPFGQ15RJ8HX	5	regular	four	both	three	regular	five	ironic	one	regular	five
regular	36_17_R2HTWIAY6B3HZ5	5	regular	three	regular	four	regular	five	regular	five	regular	five
regular	46_11_R2UMMY0S63V95A	5	regular	four	regular	five	regular	five	regular	five	regular	four
ironic	8_12_R1FUPYGHYAG76B	1	sarcastic	one	sarcastic	three	sarcastic	one	regular	one	both	one
regular	32_6_R3JN6O2WLF3VHO	5	ironic	five	regular	five	regular	five	regular	five	regular	five
regular	39_5_RF6KKEJQU02G0	5	regular	five	regular	five	regular	five	regular	five	both	three
regular	35_10_RBC5JL46QEXF1	5	regular	four	regular	three	regular	three	sarcastic	three	regular	five
ironic	41_15_R3LHO12RQ29V2S	1	sarcastic	one	regular	three	regular	one	sarcastic	one	both	one
regular	8_9_R2UKINSKB40967	1	regular	three	regular	three	regular	three	regular	three	both	one
regular	44_15_R12XGOZVWNNS2X	5	regular	five	both	five	regular	four	regular	five	regular	five
ironic	45_8_R1GQZ8937I00FF	1	sarcastic	one	ironic	two	ironic	one	regular	one	both	one
ironic	37_9_RSPTDHROM36NS	3	regular	one	both	one	regular	one	sarcastic	one	both	three
regular	24_2_R1W6YGULHYVVXL	4	regular	three	ironic	three	both	three	regular	three	regular	four
regular	41_18_R3QEHUJ7QF7CB1	5	regular	five	regular	five	regular	five	regular	four	ironic	five
regular	21_10_R4DHZNZKG5S1A	5	regular	five	regular	five	regular	five	regular	five	regular	four
regular	3_18_R1AGD23MLG2404	4	both	three	regular	three	regular	three			regular	four
regular	3_7_R1TPLO3WLIK6YJ	5	regular	five	regular	four	regular	four	regular	five	regular	four
ironic	35_7_R3AZVJ1F11KM4W	5	sarcastic	five	regular	four	regular	three	sarcastic	four	sarcastic	four
regular	22_12_R1RGUY23T8DQEM	5	regular	one	regular	four	regular	five	regular	five	ironic	five
ironic	47_15_R20BTQ7K563AAX	4	regular	three	sarcastic	three	regular	two	sarcastic	two	sarcastic	five
regular	40_10_RK2HL773C5MAF	5			regular	four	regular	five	regular	five	regular	three
ironic	5_14_R2BECJPRGIF9M	1	sarcastic	one	sarcastic	one	both	one	both	one	both	three
regular	42_14_REU85KX38F95L	4	regular	five	regular	four	regular	five	regular	four	both	three
ironic	45_4_R2S0DJ52DDQGF0	1	ironic	two	sarcastic	two	sarcastic	one	regular	two	sarcastic	one
regular	12_13_R1AQPUQPVODZ77	5	regular	five	regular	five	regular	five	regular	four	regular	five
regular	49_15_R2VD71YL4KEDCG	1	regular	one	both	five	regular	two	both	one	regular	one
regular	37_20_R2X5LF31122D2E	1	regular	one	regular	two	regular	three	regular	one	regular	one
regular	31_4_R1F3W07PJG16Q8	5	regular	five	regular	two	ironic	five	regular	four	regular	four
ironic	33_6_R2OVOVLV9J544P	1	sarcastic	one	both	one	sarcastic	three	regular	three	regular	one
regular	5_5_R32K7PPX045RSV	5	regular	five	regular	three	regular	five	regular	five	regular	five
regular	30_3_RYZJTDPYNWFB7	5	regular	five	regular	four	regular	five	regular	four	regular	five
regular	8_17_R1NCEOBVH6SEC7	5	regular	four	regular	five	regular	five	regular	four	regular	five
regular	24_15_R3PKI27JFNBAVX	5	regular	four	regular	five	regular	four	regular	five	regular	four
regular	276425_2_RP6UODS7J8N9D	5	regular	five	regular	five	regular	four	regular	four	regular	five
regular	25_14_R167OPY31FJFQR	5	both	five	regular	five	regular	five	regular	three	regular	five
regular	50_15_RHFP82J66EOW2	5	regular	five	regular	five	regular	four	regular	four	regular	four
regular	2_17_R1HEYMNCN65TEY	5	regular	five	regular	four	regular	three	regular	four	regular	four
regular	12_12_R35Q3F7LPHITRU	1	sarcastic	three	regular	two	regular	three	regular	two	sarcastic	one
regular	276426_4_R20Y16BCNX1SGM	3	regular	four	regular	three	regular	three	both	two	regular	two
regular	35_18_RVHDICSGTUC7P	5	regular	four	regular	five	regular	five	regular	four	sarcastic	five
regular	276423_9_RYAERL1LAFLY1	5	regular	five	regular	five	regular	four	regular	four	regular	three
regular	5_1_R2962BG5EELZ7F	5	regular	four	regular	four	regular	five	regular	five	regular	four
ironic	30_10_R2PPFDYP1IYXG2	5	regular	five	both	five	sarcastic	two	sarcastic	one	ironic	four
ironic	40_20_R2C5BW2E6SA0DD	1	sarcastic	two	both	one	both	two	both	one	regular	two
regular	15_1_R2XQID2NCROIIL	5	regular	five	regular	five	regular	five	ironic	three	regular	five
ironic	26_5_R2JAN7N7K0C4O6	5	sarcastic	two	both	four	sarcastic	five	both	five		
ironic	31_18_R1B301RNW4MUJL	1	sarcastic	one	sarcastic	three	both	four	both	three	both	two
ironic	47_4_RP36XPONLM4YU	1	sarcastic	one	ironic	three	regular	two	regular	five	both	three
regular	34_14_R14HCKZ4NCNU58	5	regular	five	regular	five	regular	five	both	five	ironic	five
regular	49_2_R1WV9MAH5BMUZM	5	regular	four	regular	five	ironic	two	regular	four	regular	five
ironic	12_12_RIXCE8Q7OHC5I	1	both	two	both	two	regular	one	sarcastic	one	both	two
ironic	1_16_R1J4YE0BICPB1C	2	both	two	ironic	one	both	one	ironic	five	sarcastic	two
ironic	276423_3_R3825IJJACAHV5	1	both	five	sarcastic	five	regular	four	both	two	both	one
ironic	17_5_RFH3UT9TNAAAB	1	ironic	four	both	two	sarcastic	two	regular	three	regular	three
ironic	19_8_R3BCMWGJPVQ9K	1	sarcastic	two	both	one	sarcastic	one	regular	one	regular	four
regular	18_13_R6I266UPV2E85	5	regular	five	regular	five	regular	five	regular	five	regular	four
regular	31_19_R1DS07NH3Z8WXA	5	regular	five	ironic	five	regular	five	regular	five	regular	five
regular	38_13_R2AKN2WHEPS0SC	3	regular	three	regular	five	regular	four	both	four	regular	three
ironic	35_12_R2BHAO9XCM3FNL	1	regular	one	sarcastic	one	ironic	one	sarcastic	one	sarcastic	one
regular	43_3_RM2PRRDE2PU5D	4	regular	five	regular	four	regular	five	regular	four	regular	five
ironic	34_4_RNI9VWP5GIW1D	2	both	two	both	one	regular	three	both	two	both	three
regular	5_4_R3RXBM0S6DS2ES	5	regular	five	regular	five	ironic	four	regular	four	regular	five
regular	12_6_R20I8SNP9ICYUF	4	regular	four	regular	five	regular	four	sarcastic	two	regular	four
regular	37_2_R13M9T6WY7TQEL	5	regular	five	regular	five	sarcastic	two	regular	four	regular	four
regular	2_13_R11NHXB9WZPEET	5	regular	five	regular	four	regular	four	regular	four	ironic	five
regular	30_11_R3H21593MB4M1S	4	regular	five	ironic	five	regular	five	regular	four	regular	five
ironic	17_1_R2NR6PNN0JXMRI	1	sarcastic	one	both	three	sarcastic	one	sarcastic	one	both	two
regular	46_5_R1A0N911M3OMAH	5	regular	five	regular	five	regular	five	sarcastic	four	regular	five
regular	276425_5_R2QH89ZOFU88PF	5	regular	four	regular	five	regular	four	regular	five	regular	five
regular	12_5_R2VEG7AZOPYHAT	5	regular	five	regular	five	regular	four	regular	four	regular	five
regular	14_12_R1FDH7MK09IQEO	4	regular	five	regular	two	regular	four	regular	four	regular	four
ironic	10_8_R1JOCLVNZBZTW0	1	sarcastic	three	sarcastic	two	both	one	sarcastic	two	regular	one
ironic	14_5_R2334YRUI2S8D1	1	regular	one	regular	one	sarcastic	one	sarcastic	one	sarcastic	two
regular	24_3_R389XZSDGPIQSQ	1	regular	one	regular	one	sarcastic	two	regular	one	regular	one
regular	34_4_RB1VBHPP3DE6L	5	regular	five	regular	five	regular	four	regular	five	ironic	three
regular	276425_6_R1G5X00OZTSBLM	5	regular	five	regular	five	regular	five	sarcastic	two	regular	five
regular	276423_11_R2WPF3H0VO2K3Y	4	regular	four	regular	four	regular	three	ironic	two	regular	four
regular	40_5_R37ZU6NY3UU50Y	5	regular	five	regular	four	regular	four	regular	four	regular	five
ironic	9_2_R30AAO2WZGWXB5	5	sarcastic	two	both	three	sarcastic	five	ironic	five	sarcastic	five
regular	36_19_RPRRQDRSHDV6J	5	regular	five	ironic	four	regular	three	regular	four	regular	four
ironic	276423_9_RBRBXDP3QTOOG	5	ironic	five	both	three	regular	four	regular	five	sarcastic	four
regular	48_14_R1MMGL849PVNP	5	both	four	regular	five	regular	four	regular	five	regular	five
regular	26_15_R1RKISQBORWN6K	5	regular	five	regular	five	regular	five	regular	four	regular	five
ironic	40_16_R1BQWK2R2YLFI7	5	regular	five	ironic	three	sarcastic	three	ironic	four	both	five
regular	46_16_R35J5NK1RSPLPS	5	regular	five	both	five	regular	five	regular	five	both	five
regular	15_12_R1YHDZO271VAHP	5	regular	three	regular	four	regular	five	regular	four	ironic	five
regular	50_4_RI6LD0C4PET3V	1	regular	three	regular	two	regular	one	both	one	regular	two
ironic	25_12_R2MBG53YJEKQCI	5	sarcastic	five	ironic	two	both	one	both	one	both	one
regular	44_13_R1V6PBUXJVCWJG	3	regular	three	regular	four	regular	five	ironic	two	regular	three
ironic	21_18_R1PH6TKNWE91QA	1	sarcastic	one	sarcastic	one	sarcastic	one	regular	one	both	three
regular	44_19_R2937PJN7EWBIF	1	regular	three	both	two	regular	two	regular	one	regular	one
regular	17_14_R2FN8TQEHTZHPZ	4	regular	three	ironic	four	regular	four	both	two	regular	three
regular	41_8_R1TDJVDWE39JFX	5	regular	five	regular	four	regular	three	regular	four	regular	four
regular	27_3_R20PSFN13OIUD3	4	regular	three	regular	four	regular	five	regular	five	sarcastic	four
regular	50_17_R16TKI7D69EHVP	2	regular	one	both	two	regular	four	regular	three	both	three
regular	32_12_R1LCFNT1JWBK7Z	4	regular	four	regular	four	regular	four	regular	four	regular	four
regular	36_3_R1SU6EHKW6TC3E	5	regular	five	regular	four	regular	five	regular	five	regular	five
ironic	33_7_R33YPAV3D4QU2P	1	sarcastic	one	both	two	regular	one	sarcastic	one	regular	one
ironic	13_9_RZBWQ106KJWIO	1	sarcastic	two	both	one	ironic	one	regular	one	both	one
regular	27_8_R3HIE3Q8O8BSJG	5	regular	five	regular	four	regular	four	both	two	regular	five
ironic	30_16_R2IYNBQQK2OZS	5	sarcastic	five	sarcastic	five	ironic	five	both	four	both	five
regular	30_13_R1EXPDBC1H528A	5	sarcastic	four	regular	four	regular	four	regular	three	both	four
regular	25_16_R2ZB0QBVHUENWG	5	regular	four	regular	three	regular	three	regular	three	regular	three
regular	33_17_R2R6DFAJZW1O0M	5	regular	five	sarcastic	three	regular	five	regular	four	regular	four
ironic	14_19_R5T3W7IEROLS6	1	both	one	both	one	ironic	two	regular	two	regular	two
regular	276423_3_R30PVK9GT5JZ46	5	sarcastic	two	regular	four	regular	five	sarcastic	four	regular	five
regular	5_17_R1A6U10UV6Z126	4	regular	four	regular	three	ironic	five	regular	four	regular	five
ironic	24_16_R2XODBMUTNTLM0	1	both	one	sarcastic	one	both	one	sarcastic	one	sarcastic	one
regular	49_7_RTOQPY4ACOU7L	5	regular	five	regular	four	regular	three	regular	four	regular	five
ironic	46_17_R1QASQKKQX7OXN	5	ironic	five	sarcastic	five	sarcastic	five	regular	five	both	one
regular	28_11_R17MORN6LHRZQZ	5	regular	five	regular	five	regular	five	regular	four	regular	three
regular	33_1_R3QR8HHV0YQVEL	5	both	five	regular	five	ironic	three	regular	four	regular	five
regular	16_5_R16B8SWKLC420K	5	regular	five			regular	five	regular	five	sarcastic	three
regular	33_2_R3BACARFKLHWD2	4	regular	four	both	two	regular	four	regular	four	regular	four
regular	22_13_R2V9RCWI1PVSJK	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	11_19_RKKYEBNNEDDR2	5	regular	five	regular	five	regular	four	both	four	regular	four
regular	47_14_R1OGD62M2A0DVT	5	regular	five	regular	four	regular	three	regular	four	regular	four
ironic	276427_2_R3OTADU8DYGPR5	1	sarcastic	one	both	three	both	two	regular	three	both	one
ironic	29_5_R1B8AJTIQ2O97Q	4	both	four	both	four	regular	four	ironic	three	sarcastic	four
regular	276426_1_R38RBETCEFUYZL	5	regular	five	regular	five	regular	three	regular	four	regular	four
regular	50_6_R34YG19BA9USX7	5	ironic	three	regular	five	regular	five	regular	five	regular	five
ironic	35_2_R1XR9A4UDEXD5D	1	both	two	sarcastic	one	sarcastic	one	both	three	both	one
ironic	47_16_R22P2L5O7XL7N8	5	sarcastic	five	sarcastic	two	ironic	five	both	five	sarcastic	five
regular	21_19_R267M5V0HOANYV	1	regular	one	both	two	regular	two	regular	one	regular	one
regular	276427_7_R205W14SFMJFJD	3	regular	three	regular	three	regular	four	ironic	five	regular	three
regular	31_8_R11CZNLR705M65	5	sarcastic	two	regular	four	regular	four	regular	four	ironic	four
regular	32_7_R2N2FNNSPTANOZ	1	regular	one	regular	one	regular	one	ironic	one	regular	one
regular	15_18_R97OOV8LS79KZ	5	regular	three	regular	four	regular	four	regular	five	regular	four
ironic	276426_8_RG66D9Y4OS8BX	1	sarcastic	two	ironic	four	both	one	sarcastic	one	regular	four
ironic	2_4_R1VBE1OYWCK92V	1	regular	two	sarcastic	one	regular	two	both	two	both	one
regular	276424_2_R2VMHH46SS93F5	4	regular	five	regular	four	both	four	ironic	five	regular	five
regular	41_16_R15O9PKINAOO67	4	regular	four	regular	three	regular	four	regular	four	regular	four
regular	276424_6_RDHXAUMOV0JOT	4	regular	four	regular	four	regular	two	regular	five	both	three
regular	5_10_R1N5GEWWSTB209	5	regular	five	regular	five	ironic	four	regular	five	sarcastic	two
ironic	40_2_R28P9HR5F0KVQ0	5	ironic	one	both	five	sarcastic	five	sarcastic	four	sarcastic	five
regular	4_3_R3UUMPXH01HX4M	5	ironic	four	regular	five	regular	five	regular	five	regular	five
regular	19_20_R2HGZKAG8BFDPB	3	regular	three	regular	three	regular	two	regular	two	regular	three
regular	17_8_R35RAALH6SZE7J	5	regular	four	regular	four	regular	four	regular	four	regular	three
regular	20_6_R2XYMQOPUJPPU9	1	regular	one	regular	one	regular	one	regular	one	regular	one
regular	12_15_R310M7IQBIW069	5	regular	four	regular	five	regular	five	regular	five	regular	four
regular	17_19_R22TMSMD4THQDU	5	ironic	five	regular	five	regular	five	regular	five	both	one
regular	30_2_R3HL2W1VXWAPGQ	4	regular	two	regular	four	regular	four	regular	three	regular	three
regular	34_15_R28A60L3JTIZUI	5	regular	five	regular	four	regular	four	regular	five	ironic	four
regular	10_5_R2I35IUSSIXFPS	4	ironic	five	regular	three	regular	four	regular	three	regular	three
regular	42_3_RJLEYG0VNTLNN	1	regular	three	regular	one	regular	one	regular	one	regular	one
regular	19_12_R28SS4DXV852A5	5	regular	five	regular	four	ironic	four	regular	five	regular	four
ironic	40_17_R1YJHP9N0QZ1IG	1	ironic	one	regular	one	both	one	sarcastic	one	regular	one
ironic	4_2_R1PNVXRNTGHK0A	1	both	two	sarcastic	one	both	three	both	three	regular	one
ironic	18_10_R2W3ZBIJY957K2	1	regular	one	regular	one	sarcastic	one	sarcastic	one	sarcastic	two
ironic	39_5_R3VCV8DOUR5MLZ	1	both	one	ironic	two	sarcastic	one	sarcastic	one	both	two
regular	39_7_R34N3HSY5727XV	5	regular	five	regular	five	regular	four	regular	five	ironic	five
ironic	27_12_RTBDV3D382IYW	1	ironic	one	ironic	one	ironic	one	regular	two	regular	one
ironic	8_13_RM8RP4OZP12D3	5	both	four	regular	two	sarcastic	three	both	three	regular	three
ironic	49_6_R1BZLL6EWQKQS9	5	sarcastic	five	sarcastic	five	both	three	regular	three	sarcastic	one
regular	14_5_R3CHB0LBELK4EY	5	regular	four	regular	five	regular	four	regular	five	regular	five
ironic	15_13_R3AW5O42YENKL3	5	ironic	one	sarcastic	one	both	five	regular	one	both	three
ironic	43_19_ROBJ73V0UOQTO	1	sarcastic	one	regular	one	ironic	one	both	one	both	one
ironic	33_9_RDB057C20T13D	5	both	one	regular	five	ironic	four	both	five	regular	five
ironic	14_4_R202ZZKBABCXD7	5	both	three	both	one	sarcastic	five	regular	five	regular	five
ironic	5_19_R224EDIPILSZXS	1	sarcastic	two	regular	three	sarcastic	one	sarcastic	one	both	one
regular	20_16_RWD8I8HYX4L7A	5	regular	four	regular	five	regular	four	sarcastic	two	regular	five
regular	2_3_RPVF83RK1ZUL3	5	regular	five	regular	five	regular	five	regular	five	regular	four
regular	51_16_RYM3UX8TCB0JQ	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	35_3_R35R77T6UU010C	1	regular	one	regular	one	regular	two	regular	one	regular	one
ironic	17_6_RGHFIPPFW7ALX	1	both	two	sarcastic	one	both	one	Easy	ironic	both	one
regular	13_11_R14YGREH80DBE3	5	both	three	regular	five	regular	five	regular	four	regular	five
ironic	31_7_R24HZ6RCD0W42U	5	both	five	regular	five	sarcastic	five	ironic	five	sarcastic	five
regular	14_18_R1BR0L466UKSBA	5	ironic	three	regular	four	regular	five	regular	five	regular	three
regular	12_1_R2OF8Z87UZVJJA	4	regular	two	regular	three	regular	four	regular	four	sarcastic	three
ironic	50_10_R2ODWMCUW2MM04	1	sarcastic	one	sarcastic	one	regular	one	sarcastic	one	regular	two
regular	2_8_R3JPQQRABFWLRB	5	regular	five	regular	four	regular	five	ironic	four	regular	three
regular	17_3_RVQWKNQWIPDLU	5	regular	four	regular	five	regular	four	regular	four	regular	four
regular	14_15_R1K5MJLVEII12W	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	32_17_R3PEFTBREU1KSA	1	sarcastic	one	sarcastic	one			sarcastic	one	both	one
regular	39_17_R12EPKTNS75T7V	5	both	five	both	three	regular	five	regular	five	regular	three
regular	51_12_RX3J7X7PYT5KH	5	regular	five	regular	five	regular	five	regular	five	both	five
regular	31_3_R25AGEGV14RLYG	5	regular	three	regular	four	regular	four	regular	three	regular	four
ironic	51_12_R2LC1XPC16S7FI	1	regular	one	regular	three	ironic	one	ironic	one	sarcastic	one
regular	47_12_R23P866HQGDO92	5	regular	five	regular	five	regular	five	regular	three	regular	five
regular	22_19_RFN0VMBINCH6S	5	regular	four	regular	three	regular	four	regular	three	regular	one
regular	1_6_RHXRT4UY97UB4	5	regular	five	regular	four	regular	five	regular	three	regular	five
regular	13_2_R4Z2EXASJHL1Q	5	regular	two	regular	three	regular	four	ironic	three	regular	three
ironic	49_9_R2KBR712RJ1MVC	1	both	one	both	one	both	two	both	one	sarcastic	one
ironic	41_18_R9984FEVIXUV4	1	regular	one	regular	three	sarcastic	one	both	one	sarcastic	one
regular	39_2_R3BEHD6AXU216	5	regular	four	regular	five	regular	five	regular	five	regular	four
regular	4_15_R2PAGHK47R0ESM	5	sarcastic	two	regular	five	regular	four	regular	five	regular	four
regular	31_15_R1OJY1BV4JUGLR	5	regular	four	regular	four	regular	five	both	three	ironic	four
regular	26_4_R3TUU23BEU2VNP	5	regular	five	regular	five	regular	five	regular	five	ironic	five
regular	21_20_R16V5IC45WHZZM	1	ironic	one	regular	four	regular	one	regular	two	regular	one
ironic	17_18_R3W387NTMCSMPP	3	sarcastic	one	sarcastic	two	ironic	three	sarcastic	two	sarcastic	two
regular	36_10_RTI6XIRKQ0KZA	5	regular	four	regular	five	regular	five	regular	five	regular	five
ironic	6_14_RFQE3CSNUEN55	1	sarcastic	one	sarcastic	one	sarcastic	one	regular	two	ironic	one
regular	16_11_R1NIKAR3ZQVOK4	5	regular	five	regular	four	regular	four	ironic	four	regular	five
ironic	13_12_R37XGBTD0KEF0P	1	both	one	regular	one	sarcastic	one	regular	four	sarcastic	one
ironic	32_16_R3BGVX3Y1X38I5	1	both	one	regular	one	sarcastic	one	both	one	both	five
regular	36_14_R36EETX98ZGD51	3	regular	two	regular	three	regular	two	regular	three	regular	three
ironic	15_1_R9QZGK0OY6I9B	1	sarcastic	three	ironic	three	both	one	regular	one	sarcastic	one
regular	42_15_R33KMDKHRZXHFE	5	regular	four	regular	four	regular	two	regular	three	regular	five
